,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
50,Cabo San Lucas,MX,22.89,-109.91,93.2,54,40,13.87,scattered clouds,0.0,0.0
51,Hobart,AU,-42.88,147.33,48.2,61,75,10.29,broken clouds,0.0,0.0
52,Prachuap Khiri Khan,TH,11.82,99.78,86.0,66,99,1.1,overcast clouds,0.0,0.0
53,Biryusinsk,RU,55.96,97.82,71.82,83,95,6.22,moderate rain,0.048818897637795275,0.0
54,Sosua,DO,19.77,-70.52,82.99,74,75,11.79,broken clouds,0.0,0.0
55,Morehead,US,37.27,-87.18,78.8,100,1,2.84,clear sky,0.0,0.0
56,Coihaique,CL,-45.58,-72.07,26.6,100,96,1.97,mist,0.0,0.0
57,Port Alfred,ZA,-33.59,26.89,62.01,82,25,8.01,scattered clouds,0.0,0.0
58,Nome,US,64.5,-165.41,51.01,81,90,16.11,overcast clouds,0.0,0.0
59,Caravelas,BR,-17.71,-39.25,70.83,91,7,3.13,clear sky,0.0,0.0
60,Pangkalanbuun,ID,-2.68,111.62,81.84,84,46,4.21,moderate rain,0.05511811023622047,0.0
61,Floriano,BR,-6.77,-43.02,77.23,59,0,6.87,clear sky,0.0,0.0
62,Qaanaaq,GL,77.48,-69.36,44.02,60,0,0.56,clear sky,0.0,0.0
63,Yellowknife,CA,62.46,-114.35,64.4,42,40,21.92,scattered clouds,0.0,0.0
64,Ilulissat,GL,69.22,-51.1,51.8,53,100,18.34,overcast clouds,0.0,0.0
65,Saskylakh,RU,71.92,114.08,57.97,51,27,12.35,scattered clouds,0.0,0.0
66,Saint-Augustin,CA,51.23,-58.65,58.01,71,59,7.76,broken clouds,0.0,0.0
67,Kenai,US,60.55,-151.26,57.2,87,90,9.17,overcast clouds,0.0,0.0
68,Saint-Philippe,RE,-21.36,55.77,68.0,94,90,3.36,light intensity drizzle rain,0.0,0.0
69,Mar Del Plata,AR,-38.0,-57.56,46.0,86,75,2.24,broken clouds,0.0,0.0
70,Bethel,US,41.37,-73.41,70.0,83,40,5.82,scattered clouds,0.0,0.0
71,Arisvi,GR,41.07,25.58,74.55,68,94,11.39,overcast clouds,0.0,0.0
72,Nalut,LY,30.33,10.85,70.47,44,0,8.08,clear sky,0.0,0.0
73,Cervo,ES,43.67,-7.41,63.0,83,100,1.99,overcast clouds,0.0,0.0
74,Victoria,HK,22.29,114.16,91.0,70,99,10.0,overcast clouds,0.0,0.0
75,Barrow,US,71.29,-156.79,37.4,86,90,16.11,overcast clouds,0.0,0.0
76,Klaksvik,FO,62.23,-6.59,44.6,81,100,17.22,overcast clouds,0.0,0.0
77,Ostrovnoy,RU,68.05,39.51,55.27,81,46,27.2,scattered clouds,0.0,0.0
78,Fort Nelson,CA,58.81,-122.7,69.8,52,75,10.29,broken clouds,0.0,0.0
79,Cherepanovo,RU,54.22,83.38,64.76,90,85,7.96,overcast clouds,0.0,0.0
80,Batagay-Alyta,RU,67.8,130.41,60.01,38,5,2.77,clear sky,0.0,0.0
81,Bilma,NE,18.69,12.92,84.94,14,53,8.68,broken clouds,0.0,0.0
82,Key West,US,24.56,-81.78,84.99,62,20,5.82,few clouds,0.0,0.0
83,Hearst,CA,49.68,-83.67,72.88,68,100,10.07,overcast clouds,0.0,0.0
84,Kapaa,US,22.08,-159.32,82.4,65,1,11.41,clear sky,0.0,0.0
85,Carnarvon,AU,-24.87,113.63,68.0,45,72,13.87,broken clouds,0.0,0.0
86,Shimanovsk,RU,52.0,127.7,74.53,38,0,10.51,clear sky,0.0,0.0
87,Mandalgovi,MN,45.76,106.27,79.7,24,93,11.3,overcast clouds,0.0,0.0
88,Tuatapere,NZ,-46.13,167.68,44.28,86,100,15.08,moderate rain,0.08740157480314961,0.0
89,Valparai,IN,10.37,76.97,77.0,94,90,8.05,light rain,0.0,0.0
90,Manado,ID,1.49,124.85,87.8,58,20,6.93,few clouds,0.0,0.0
91,Kassala,SD,15.45,36.4,78.96,69,58,26.15,broken clouds,0.0,0.0
92,Dikson,RU,73.51,80.55,50.5,63,11,15.1,few clouds,0.0,0.0
93,Sassandra,CI,4.95,-6.08,73.78,88,100,6.38,overcast clouds,0.0,0.0
94,Ribeira Grande,PT,38.52,-28.7,68.22,88,2,10.83,clear sky,0.0,0.0
95,Serenje,ZM,-13.23,30.24,45.97,79,33,5.14,scattered clouds,0.0,0.0
96,Lishu,CN,43.3,124.33,76.08,48,0,13.09,clear sky,0.0,0.0
97,Hit,IQ,33.64,42.83,89.58,19,0,9.86,clear sky,0.0,0.0
98,Sterlitamak,RU,53.62,55.95,69.51,87,0,1.25,clear sky,0.0,0.0
99,Port Elizabeth,ZA,-33.92,25.57,60.8,77,42,20.8,scattered clouds,0.0,0.0
100,Castro,BR,-24.79,-50.01,58.59,96,79,6.51,broken clouds,0.0,0.0
101,Laguna,US,38.42,-121.42,80.6,28,1,14.99,haze,0.0,0.0
102,Kampong Chhnang,KH,12.17,104.55,85.69,71,92,8.84,overcast clouds,0.0,0.0
103,Xianshuigu,CN,38.98,117.38,86.0,55,0,8.95,clear sky,0.0,0.0
104,Atuona,PF,-9.8,-139.03,79.97,71,4,11.9,clear sky,0.0,0.0
105,Nicoya,CR,10.15,-85.45,74.07,92,99,2.46,overcast clouds,0.0,0.0
106,Itarema,BR,-2.92,-39.92,75.67,90,47,7.11,scattered clouds,0.0,0.0
107,Vao,NC,-22.67,167.48,69.71,73,100,12.24,light rain,0.006692913385826772,0.0
108,Sturgeon Falls,CA,46.36,-79.93,75.2,69,75,4.7,broken clouds,0.0,0.0
109,Norman Wells,CA,65.28,-126.83,53.6,71,90,9.17,shower rain,0.0,0.0
110,Mehamn,NO,71.04,27.85,45.79,92,100,17.0,light rain,0.005905511811023622,0.0
111,Hejnice,CZ,50.88,15.18,50.0,88,67,1.01,broken clouds,0.0,0.0
112,Lompoc,US,34.64,-120.46,62.6,67,0,18.34,clear sky,0.0,0.0
113,Hithadhoo,MV,-0.6,73.08,84.16,74,100,16.22,overcast clouds,0.0,0.0
114,Sault Sainte Marie,CA,46.52,-84.33,73.4,83,1,3.36,clear sky,0.0,0.0
115,Matozinhos,BR,-19.56,-44.08,64.4,77,0,2.24,clear sky,0.0,0.0
116,Hobyo,SO,5.35,48.53,77.99,75,100,15.28,overcast clouds,0.0,0.0
117,Avarua,CK,-21.21,-159.78,73.4,83,97,16.11,overcast clouds,0.0,0.0
118,Cravo Norte,CO,6.3,-70.2,72.88,96,66,3.18,light rain,0.015748031496062995,0.0
119,Pevek,RU,69.7,170.31,47.57,68,84,8.88,broken clouds,0.0,0.0
120,Provideniya,RU,64.38,-173.3,44.6,93,90,8.95,fog,0.0,0.0
121,Mataura,NZ,-46.19,168.86,44.31,89,83,8.19,light rain,0.00984251968503937,0.0
122,Isangel,VU,-19.55,169.27,71.6,73,90,4.7,overcast clouds,0.0,0.0
123,Lasa,IT,46.62,10.7,53.6,71,40,5.82,scattered clouds,0.0,0.0
124,Porto Novo,BJ,6.5,2.6,78.8,88,40,9.17,scattered clouds,0.0,0.0
125,Cobija,BO,-11.03,-68.77,78.8,66,93,1.72,overcast clouds,0.0,0.0
126,Muros,ES,42.78,-9.06,63.0,78,0,11.01,clear sky,0.0,0.0
127,Olafsvik,IS,64.89,-23.71,51.15,71,95,7.67,overcast clouds,0.0,0.0
128,Vidim,RU,56.41,103.11,80.28,41,47,5.37,scattered clouds,0.0,0.0
129,Payakumbuh,ID,-0.22,100.63,81.61,63,85,3.85,overcast clouds,0.0,0.0
130,Piterka,RU,50.68,47.45,79.92,46,0,7.45,clear sky,0.0,0.0
131,Zambezi,ZM,-13.54,23.1,44.94,54,0,5.5,clear sky,0.0,0.0
132,Lebu,CL,-37.62,-73.65,43.65,74,78,5.53,broken clouds,0.0,0.0
133,Kavaratti,IN,10.57,72.64,83.86,77,100,18.61,light rain,0.011811023622047244,0.0
134,Butaritari,KI,3.07,172.79,83.71,75,15,12.33,few clouds,0.0,0.0
135,Lavrentiya,RU,65.58,-171.0,48.31,80,29,10.51,scattered clouds,0.0,0.0
136,Pareora,NZ,-44.49,171.21,52.0,55,100,8.86,overcast clouds,0.0,0.0
137,Ujjain,IN,23.18,75.77,81.59,74,100,8.14,overcast clouds,0.0,0.0
138,Oneida,US,43.2,-75.47,78.8,57,90,8.05,overcast clouds,0.0,0.0
139,Hilo,US,19.73,-155.09,84.2,54,75,6.93,broken clouds,0.0,0.0
140,Buala,SB,-8.14,159.59,85.01,68,34,6.62,scattered clouds,0.0,0.0
141,Sitka,US,57.05,-135.33,57.2,71,75,11.41,broken clouds,0.0,0.0
142,Bubaque,GW,11.28,-15.83,80.4,82,96,13.69,moderate rain,0.08425196850393701,0.0
143,San Patricio,MX,19.22,-104.7,86.0,79,40,11.41,scattered clouds,0.0,0.0
144,Axim,GH,4.87,-2.24,76.48,87,100,7.54,overcast clouds,0.0,0.0
145,Los Llanos De Aridane,ES,28.66,-17.92,71.6,83,40,12.75,scattered clouds,0.0,0.0
146,Batagay,RU,67.63,134.63,65.37,41,54,4.72,broken clouds,0.0,0.0
147,Bataipora,BR,-22.3,-53.27,68.07,73,6,2.86,clear sky,0.0,0.0
148,Kapoeta,SS,4.77,33.59,72.19,79,41,0.94,light rain,0.013385826771653545,0.0
149,Namatanai,PG,-3.67,152.43,83.39,75,24,8.14,moderate rain,0.05196850393700788,0.0
150,Malm,NO,64.07,11.22,51.8,76,100,17.22,light rain,0.005511811023622048,0.0
151,Akhtubinsk,RU,48.28,46.17,85.62,25,0,5.91,clear sky,0.0,0.0
152,Ulety,RU,51.36,112.48,79.05,35,0,4.16,clear sky,0.0,0.0
153,Aberdeen,GB,57.14,-2.1,51.8,71,39,10.29,scattered clouds,0.0,0.0
154,Dhadar,IN,28.33,75.06,93.0,47,0,4.21,clear sky,0.0,0.0
155,Makakilo City,US,21.35,-158.09,87.8,48,20,10.29,few clouds,0.0,0.0
156,Tres Passos,BR,-27.46,-53.93,63.0,93,88,1.99,light rain,0.011811023622047244,0.0
157,Crispiano,IT,40.61,17.23,75.99,70,0,10.87,clear sky,0.0,0.0
158,Labuhan,ID,-6.88,112.21,81.64,75,76,5.46,broken clouds,0.0,0.0
159,Cherskiy,RU,68.75,161.3,65.98,44,34,14.81,scattered clouds,0.0,0.0
160,Urucui,BR,-7.23,-44.56,77.79,58,18,6.85,few clouds,0.0,0.0
161,Constitucion,CL,-35.33,-72.42,48.99,72,98,2.77,overcast clouds,0.0,0.0
162,Nishihara,JP,26.18,127.76,89.6,79,75,14.99,broken clouds,0.0,0.0
163,Mexico,PH,15.06,120.72,92.08,54,94,6.06,overcast clouds,0.0,0.0
164,Yar-Sale,RU,66.83,70.83,74.59,49,28,5.01,scattered clouds,0.0,0.0
165,Dingle,PH,11.0,122.67,87.87,67,37,10.27,scattered clouds,0.0,0.0
166,Rochester,US,43.15,-77.62,75.99,50,1,5.55,clear sky,0.0,0.0
167,Vila Velha,BR,-20.33,-40.29,69.01,93,0,8.08,clear sky,0.0,0.0
168,Marsaxlokk,MT,35.84,14.54,73.99,73,0,14.99,clear sky,0.0,0.0
169,Kibungo,RW,-2.16,30.54,66.0,68,80,3.0,broken clouds,0.0,0.0
170,Port Blair,IN,11.67,92.75,83.68,79,100,9.86,moderate rain,0.07125984251968505,0.0
171,Clyde River,CA,70.47,-68.59,39.2,93,90,6.93,overcast clouds,0.0,0.0
172,Ancud,CL,-41.87,-73.82,37.0,100,90,1.12,overcast clouds,0.0,0.0
173,Ust-Tsilma,RU,65.44,52.15,68.97,68,72,8.1,broken clouds,0.0,0.0
174,Coruripe,BR,-10.13,-36.18,73.62,84,18,8.1,light rain,0.011023622047244096,0.0
175,Marathon,US,44.9,-89.77,70.0,100,20,4.68,moderate rain,0.07992125984251969,0.0
176,Erzin,TR,36.96,36.2,78.01,90,81,2.66,broken clouds,0.0,0.0
177,Nouakchott,MR,18.09,-15.98,78.8,83,62,5.82,broken clouds,0.0,0.0
178,Broome,US,42.25,-75.83,73.4,69,20,5.82,few clouds,0.0,0.0
179,Nelson,NZ,-41.28,173.28,57.0,78,97,1.99,overcast clouds,0.0,0.0
180,San Cristobal,VE,7.77,-72.22,66.06,79,70,1.01,broken clouds,0.0,0.0
181,Geraldton,AU,-28.77,114.6,60.8,72,2,8.05,clear sky,0.0,0.0
182,Brae,GB,60.4,-1.35,48.2,76,84,17.22,light rain,0.005511811023622048,0.0
183,Kodiak,US,57.79,-152.41,53.6,93,90,4.7,moderate rain,0.07992125984251969,0.0
184,Souillac,MU,-20.52,57.52,73.4,94,40,5.82,shower rain,0.0,0.0
185,Prince Rupert,CA,54.32,-130.32,57.2,82,90,5.82,overcast clouds,0.0,0.0
186,Ecoporanga,BR,-18.37,-40.83,64.13,79,0,0.85,clear sky,0.0,0.0
187,Banyo,CM,6.75,11.82,64.9,96,100,2.77,light rain,0.03779527559055118,0.0
188,Prata,BR,-19.31,-48.92,67.68,47,0,5.17,clear sky,0.0,0.0
189,Burnie,AU,-41.07,145.92,48.42,58,36,5.77,scattered clouds,0.0,0.0
190,Aklavik,CA,68.22,-135.01,50.0,76,75,6.93,broken clouds,0.0,0.0
191,Campbell River,CA,50.02,-125.24,64.4,68,75,3.36,broken clouds,0.0,0.0
192,Mariinskiy Posad,RU,56.12,47.72,73.4,83,0,2.75,clear sky,0.0,0.0
193,Tessalit,ML,20.2,1.01,87.91,12,0,7.67,clear sky,0.0,0.0
194,Kargopol,RU,61.51,38.95,59.65,76,55,1.86,broken clouds,0.0,0.0
195,Iqaluit,CA,63.75,-68.51,50.0,61,75,2.24,broken clouds,0.0,0.0
196,Smidovich,RU,48.6,133.82,65.62,97,100,7.09,moderate rain,0.062204724409448825,0.0
197,Tasiilaq,GL,65.61,-37.64,39.2,86,2,8.05,clear sky,0.0,0.0
198,Hay River,CA,60.82,-115.8,66.2,55,75,4.7,broken clouds,0.0,0.0
199,Jingdezhen,CN,29.29,117.21,76.93,95,100,3.87,moderate rain,0.061417322834645675,0.0
200,Kiama,AU,-34.68,150.87,61.0,63,0,7.0,clear sky,0.0,0.0
201,Nyuksenitsa,RU,60.41,44.24,70.25,80,0,5.19,clear sky,0.0,0.0
202,Krasnoselkup,RU,65.7,82.47,68.09,60,2,12.37,clear sky,0.0,0.0
203,Roald,NO,62.58,6.13,44.6,87,77,2.24,broken clouds,0.0,0.0
204,New Norfolk,AU,-42.78,147.06,48.0,76,0,1.45,clear sky,0.0,0.0
205,Shchigry,RU,51.88,36.9,64.4,93,0,2.24,clear sky,0.0,0.0
206,Kruisfontein,ZA,-34.0,24.73,53.98,79,29,12.64,scattered clouds,0.0,0.0
207,Dhidhdhoo,MV,6.88,73.1,82.98,72,100,7.72,overcast clouds,0.0,0.0
208,Srednekolymsk,RU,67.45,153.68,52.47,85,100,5.32,overcast clouds,0.0,0.0
209,Bambous Virieux,MU,-20.34,57.76,73.4,94,40,5.82,shower rain,0.0,0.0
210,Karpathos,GR,35.51,27.21,71.6,94,0,5.82,clear sky,0.0,0.0
211,Beyneu,KZ,45.32,55.2,89.74,18,0,3.74,clear sky,0.0,0.0
212,Manokwari,ID,-0.87,134.08,77.09,84,99,2.55,light rain,0.03464566929133858,0.0
213,Novyy Rogachik,RU,48.68,44.06,80.6,30,0,8.95,clear sky,0.0,0.0
214,Teya,RU,60.38,92.63,67.66,66,98,3.89,light rain,0.009055118110236222,0.0
215,Riyadh,SA,24.69,46.72,86.0,22,0,2.24,clear sky,0.0,0.0
216,Seda,LV,57.65,25.75,53.01,88,100,3.0,overcast clouds,0.0,0.0
217,Champerico,GT,14.3,-91.92,82.27,79,100,17.07,overcast clouds,0.0,0.0
218,Port Hawkesbury,CA,45.62,-61.35,53.01,100,75,3.36,broken clouds,0.0,0.0
219,Carutapera,BR,-1.2,-46.02,75.96,91,58,4.45,broken clouds,0.0,0.0
220,Saint George,US,37.1,-113.58,100.4,4,1,18.34,clear sky,0.0,0.0
221,Nikolskoye,RU,59.7,30.79,60.8,82,74,2.24,broken clouds,0.0,0.0
222,Mount Gambier,AU,-37.83,140.77,51.8,76,40,4.7,scattered clouds,0.0,0.0
223,Praia Da Vitoria,PT,38.73,-27.07,68.0,94,40,7.29,scattered clouds,0.0,0.0
224,Karratha,AU,-20.74,116.85,78.73,18,0,18.03,clear sky,0.0,0.0
225,Sinnamary,GF,5.38,-52.95,77.94,88,7,7.83,clear sky,0.0,0.0
226,Buta,CD,2.79,24.73,69.64,97,100,1.14,overcast clouds,0.0,0.0
227,Tourlaville,FR,49.64,-1.57,57.99,100,0,4.7,clear sky,0.0,0.0
228,Chapais,CA,49.78,-74.85,69.8,46,20,11.41,few clouds,0.0,0.0
229,Saldanha,ZA,-33.01,17.94,55.4,87,55,3.36,broken clouds,0.0,0.0
230,Alice Springs,AU,-23.7,133.88,55.4,47,0,11.41,clear sky,0.0,0.0
231,Grindavik,IS,63.84,-22.43,48.2,93,90,1.12,overcast clouds,0.0,0.0
232,Sao Filipe,CV,14.9,-24.5,73.72,82,68,7.38,broken clouds,0.0,0.0
233,Harwich,GB,51.94,1.28,55.0,74,6,9.28,clear sky,0.0,0.0
234,Banjar,ID,-8.19,114.97,87.1,54,23,1.41,few clouds,0.0,0.0
235,Dublin,US,37.7,-121.94,66.2,45,1,12.75,clear sky,0.0,0.0
236,Richards Bay,ZA,-28.78,32.04,61.83,36,0,9.51,clear sky,0.0,0.0
237,Paso De Carrasco,UY,-34.86,-56.05,46.4,75,20,5.82,few clouds,0.0,0.0
238,Huaiyuan,CN,32.97,117.2,91.65,60,59,5.55,broken clouds,0.0,0.0
239,Kloulklubed,PW,7.04,134.26,84.2,74,75,8.05,shower rain,0.0,0.0
240,Alihe,CN,50.57,123.72,75.58,27,0,8.97,clear sky,0.0,0.0
241,Faya,SA,18.39,42.45,71.6,60,69,6.49,broken clouds,0.0,0.0
242,Bentiu,SS,9.23,29.83,73.53,85,100,4.25,overcast clouds,0.0,0.0
243,Acapulco,MX,16.86,-99.89,84.2,79,90,3.94,overcast clouds,0.0,0.0
244,Kolokani,ML,13.57,-8.03,80.8,66,10,5.35,clear sky,0.0,0.0
245,Ketchikan,US,55.34,-131.65,62.6,59,90,10.29,overcast clouds,0.0,0.0
246,Kadipur,IN,26.17,82.38,80.01,89,100,8.55,moderate rain,0.047637795275590554,0.0
247,Cayenne,GF,4.93,-52.33,75.2,100,75,8.14,broken clouds,0.0,0.0
248,Lhokseumawe,ID,5.18,97.15,85.69,61,100,0.83,overcast clouds,0.0,0.0
249,Dhankuta,NP,26.98,87.33,78.55,72,12,4.99,few clouds,0.0,0.0
250,Vestmannaeyjar,IS,63.44,-20.27,51.15,87,28,11.7,scattered clouds,0.0,0.0
251,Gravdal,NO,68.12,13.5,48.88,85,100,8.86,overcast clouds,0.0,0.0
252,Flinders,AU,-34.58,150.86,61.0,62,0,8.01,clear sky,0.0,0.0
253,Longyearbyen,SJ,78.22,15.64,53.6,66,75,12.75,broken clouds,0.0,0.0
254,Ust-Kut,RU,56.79,105.77,81.81,29,96,4.65,overcast clouds,0.0,0.0
255,Mwingi,KE,-0.93,38.06,61.43,79,100,2.93,overcast clouds,0.0,0.0
256,Sosva,RU,59.18,61.86,74.05,69,15,0.96,few clouds,0.0,0.0
257,Ninotsminda,GE,41.26,43.59,62.6,45,0,8.05,clear sky,0.0,0.0
258,Thinadhoo,MV,0.53,72.93,83.62,78,94,12.71,overcast clouds,0.0,0.0
259,Naze,JP,28.37,129.48,86.0,94,75,11.41,light intensity shower rain,0.0,0.0
260,Mastic Beach,US,40.77,-72.85,71.6,78,1,8.05,clear sky,0.0,0.0
261,Kilindoni,TZ,-7.91,39.67,77.13,78,59,21.5,broken clouds,0.0,0.0
262,Kahului,US,20.89,-156.47,86.0,55,40,25.28,scattered clouds,0.0,0.0
263,Lindi,TZ,-10.0,39.72,66.36,87,3,5.23,clear sky,0.0,0.0
264,Kashiwazaki,JP,37.37,138.55,75.99,94,100,4.99,heavy intensity rain,0.15826771653543306,0.0
265,Maputo,MZ,-25.97,32.59,59.0,82,0,8.05,clear sky,0.0,0.0
266,Luanda,AO,-8.84,13.23,69.06,89,89,5.28,overcast clouds,0.0,0.0
267,Alofi,NU,-19.06,-169.92,78.8,88,75,13.87,broken clouds,0.0,0.0
268,Lorengau,PG,-2.02,147.27,85.3,72,40,12.03,scattered clouds,0.0,0.0
269,Santa Fe,AR,-31.63,-60.7,51.01,72,66,3.0,broken clouds,0.0,0.0
270,Acara,BR,-1.96,-48.2,71.76,98,5,2.75,clear sky,0.0,0.0
271,Necochea,AR,-38.55,-58.74,39.99,93,75,1.01,broken clouds,0.0,0.0
272,Ormara,PK,25.21,64.64,85.98,81,63,5.59,broken clouds,0.0,0.0
273,La Palma,US,33.85,-118.05,84.0,42,1,5.82,clear sky,0.0,0.0
274,Pacific Grove,US,36.62,-121.92,62.6,63,1,9.17,clear sky,0.0,0.0
275,Bengkulu,ID,-3.8,102.27,86.9,57,79,4.32,broken clouds,0.0,0.0
276,Tautira,PF,-17.73,-149.15,80.6,69,75,8.05,shower rain,0.0,0.0
277,Akureyri,IS,65.68,-18.09,39.2,93,4,0.69,clear sky,0.0,0.0
278,College,US,64.86,-147.8,72.0,53,75,6.93,broken clouds,0.0,0.0
279,Opuwo,NA,-18.06,13.84,48.04,50,0,5.12,clear sky,0.0,0.0
280,Denpasar,ID,-8.65,115.22,80.71,78,25,13.02,light rain,0.005511811023622048,0.0
281,Robertsport,LR,6.75,-11.37,76.73,84,100,7.67,light rain,0.005118110236220473,0.0
282,Tilichiki,RU,60.47,166.1,55.4,70,93,8.41,overcast clouds,0.0,0.0
283,Nosy Varika,MG,-20.58,48.53,67.86,76,73,4.5,broken clouds,0.0,0.0
284,Dubbo,AU,-32.25,148.62,55.4,76,0,9.17,clear sky,0.0,0.0
285,Kamakhyanagar,IN,20.93,85.55,85.91,68,100,10.96,overcast clouds,0.0,0.0
286,Conceicao Do Araguaia,BR,-8.26,-49.26,78.8,57,0,4.7,clear sky,0.0,0.0
287,San Jose,US,37.34,-121.89,71.6,43,20,12.75,few clouds,0.0,0.0
288,Paralimni,CY,35.04,33.98,80.6,74,20,5.82,few clouds,0.0,0.0
289,Bilibino,RU,68.05,166.44,61.23,42,95,5.26,overcast clouds,0.0,0.0
290,Byron Bay,AU,-28.65,153.62,66.0,68,91,1.01,light rain,0.009448818897637795,0.0
291,Baykit,RU,61.67,96.37,65.82,74,98,3.83,light rain,0.013779527559055118,0.0
292,Bridlington,GB,54.08,-0.19,51.8,81,95,8.05,overcast clouds,0.0,0.0
293,Rudnogorsk,RU,57.26,103.75,79.57,47,77,5.35,broken clouds,0.0,0.0
294,Tocopilla,CL,-22.09,-70.2,58.05,63,38,5.68,scattered clouds,0.0,0.0
295,Okha,RU,53.57,142.95,49.71,97,100,11.99,light rain,0.013385826771653545,0.0
296,Henties Bay,NA,-22.12,14.28,54.0,94,0,8.01,clear sky,0.0,0.0
